Support Library class,Android X class
android.arch.persistence.room.vo.FieldWithIndex,androidx.room.vo.FieldWithIndex
android.arch.persistence.room.vo.ForeignKey,androidx.room.vo.ForeignKey
android.arch.persistence.room.vo.ForeignKeyAction,androidx.room.vo.ForeignKeyAction
android.arch.persistence.room.vo.HasSchemaIdentity,androidx.room.vo.HasSchemaIdentity
android.arch.persistence.room.vo.Index,androidx.room.vo.Index
android.arch.persistence.room.vo.InsertionMethod,androidx.room.vo.InsertionMethod
android.arch.persistence.room.vo.Pojo,androidx.room.vo.Pojo
android.arch.persistence.room.vo.PojoMethod,androidx.room.vo.PojoMethod
android.arch.persistence.room.vo.PrimaryKey,androidx.room.vo.PrimaryKey
android.arch.persistence.room.vo.QueryMethod,androidx.room.vo.QueryMethod
android.arch.persistence.room.vo.QueryParameter,androidx.room.vo.QueryParameter
android.arch.persistence.room.vo.RawQueryMethod,androidx.room.vo.RawQueryMethod
android.arch.persistence.room.vo.Relation,androidx.room.vo.Relation
android.arch.persistence.room.vo.RelationCollector,androidx.room.vo.RelationCollector
android.arch.persistence.room.vo.SchemaIdentityKey,androidx.room.vo.SchemaIdentityKey
android.arch.persistence.room.vo.ShortcutMethod,androidx.room.vo.ShortcutMethod
android.arch.persistence.room.vo.ShortcutQueryParameter,androidx.room.vo.ShortcutQueryParameter
android.arch.persistence.room.vo.TransactionMethod,androidx.room.vo.TransactionMethod
android.arch.persistence.room.vo.UpdateMethod,androidx.room.vo.UpdateMethod
android.arch.persistence.room.vo.Warning,androidx.room.vo.Warning
android.arch.persistence.room.writer.ClassWriter,androidx.room.writer.ClassWriter
android.arch.persistence.room.writer.DaoWriter,androidx.room.writer.DaoWriter
android.arch.persistence.room.writer.DatabaseWriter,androidx.room.writer.DatabaseWriter
android.arch.persistence.room.writer.EntityCursorConverterWriter,androidx.room.writer.EntityCursorConverterWriter
android.arch.persistence.room.writer.EntityDeleteComparator,androidx.room.writer.EntityDeleteComparator
android.arch.persistence.room.writer.EntityDeletionAdapterWriter,androidx.room.writer.EntityDeletionAdapterWriter
android.arch.persistence.room.writer.EntityInsertionAdapterWriter,androidx.room.writer.EntityInsertionAdapterWriter
android.arch.persistence.room.writer.EntityUpdateAdapterWriter,androidx.room.writer.EntityUpdateAdapterWriter
android.arch.persistence.room.writer.FieldReadWriteWriter,androidx.room.writer.FieldReadWriteWriter
android.arch.persistence.room.writer.PreparedStatementWriter,androidx.room.writer.PreparedStatementWriter
android.arch.persistence.room.writer.QueryWriter,androidx.room.writer.QueryWriter
android.arch.persistence.room.writer.RelationCollectorMethodWriter,androidx.room.writer.RelationCollectorMethodWriter
android.arch.persistence.room.writer.SQLiteOpenHelperWriter,androidx.room.writer.SQLiteOpenHelperWriter
android.arch.persistence.room.writer.TableInfoValidationWriter,androidx.room.writer.TableInfoValidationWriter
